"動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
"叫我對大哥 (TV版)",217000,18083,"2021","夏番",12,"4.8",627,"青木純","Fanworks、SPACE NEKO COMPANY","喜劇","悠閒","泡麵番","闔家觀賞",NULL,NULL,"漫畫改編","新作"
"汪汪與喵喵",66000,2750,"2020","秋番",24,"4.8",203,"岸誠二","Team Till Dawn","喜劇","溫馨","泡麵番","闔家觀賞",NULL,NULL,"漫畫改編","新作"
"鬼滅之刃 刀匠村篇",5488000,498909,"2023","春番",11,"4.8",18562,"外崎春雄","ufotable","動作","冒險","奇幻","血腥暴力",NULL,NULL,"漫畫改編","續作"
"IDOLiSH7 - 偶像星願 - Third BEAT！",560000,18667,"2021","夏番",30,"4.8",1274,"別所誠人","TROYCA","偶像","音樂",NULL,NULL,NULL,NULL,"遊戲改編","續作"
"薄櫻鬼 新OVA",49000,16333,"2021","秋番",3,"4.8",307,"ヤマサキオサム","Studio DEEN","奇幻","戀愛","歷史",NULL,NULL,NULL,"遊戲改編","續作"
"機戰少女 Alice Expansion",94000,7833,"2023","春番",12,"4.5",681,"花井宏和","NOMAD","科幻","機甲","喜劇",NULL,NULL,NULL,"遊戲改編","新作"
"機動戰士鋼彈 水星的魔女 Season 2",1451000,120917,"2023","春番",12,"4.9",8597,"⼩林寬","SUNRISE","科幻","機甲","校園","戰爭",NULL,NULL,"原創作品","續作"
"小鳥之翼 第二季",151000,12583,"2023","春番",12,"4.8",1254,"稲垣隆行","BN Pictures","運動","競技",NULL,NULL,NULL,NULL,"原創作品","續作"
"境界服務",13000,1083,"2023","春番",12,"3.8",84,"迫井政行","Studio 3Hz","動作","科幻","喜劇","職場",NULL,NULL,"原創作品","新作"
"真・進化果實～不知不覺踏上勝利的人生～",472000,39333,"2023","冬番",12,"2.9",3220,"奧村吉昭","HOTLINE","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","新作"
"DECA - DENCE",1663000,127923,"2020","春番",13,"4.9",6050,"立川讓","NUT","動作","冒險","科幻",NULL,NULL,NULL,"原創作品","新作"
"噴嚏大魔王 2020",66000,3300,"2020","春番",20,"4.2",128,"濁川敦","タツノコプロ・日本アニメーション","冒險","喜劇","闔家觀賞",NULL,NULL,NULL,"原創作品","新作"
"BUILD-DIVIDE -#000000- CODE BLACK",194000,16167,"2021","秋番",12,"3.9",584,"駒田由貴","LIDENFILMS","超能力","科幻","競技",NULL,NULL,NULL,"原創作品","新作"
"在地下城尋求邂逅是否搞錯了什麼 第三季",4113000,316385,"2020","秋番",13,"4.8",5474,"橘秀樹","J.C.STAFF","動作","冒險","奇幻",NULL,NULL,NULL,"小說改編","續作"
"我家的英雄",607000,50583,"2023","春番",12,"4.8",3902,"龜井隆","手塚製作","親情","懸疑","黑暗",NULL,NULL,NULL,"漫畫改編","新作"
"屍體如山的死亡遊戲",2678000,133900,"2023","春番",20,"4.8",10096,"小野學","GEEK TOYS","動作","冒險","異世界","血腥暴力",NULL,NULL,"漫畫改編","續作"
"【我推的孩子】",7065000,642273,"2023","春番",11,"4.9",52618,"平牧大輔","動畫工房 (DOGAKOBO)","親情","偶像","懸疑",NULL,NULL,NULL,"漫畫改編","新作"
"擁有超常技能的異世界流浪美食家",3465000,288750,"2023","冬番",12,"4.9",22064,"松田清","MAPPA","冒險","奇幻","異世界","料理",NULL,NULL,"小說改編","新作"
"久保同學不放過我",1412000,117667,"2023","冬番",12,"4.9",12679,"古賀一臣","PINE JAM","校園","戀愛","青春",NULL,NULL,NULL,"漫畫改編","新作"
"狩火之王",163000,16300,"2023","冬番",10,"4.7",923,"西村純二","SIGNAL.MD","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","新作"
"被解僱的暗黑士兵（30多歲）開始了慢生活的第二人生",1403000,116917,"2023","冬番",12,"4.7",5272,"追崎史敏","ENCOURAGE FILMS","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","新作"
"艦隊 Collection 總有一天，在那片海",14000,1750,"2022","秋番",8,"4.3",182,"三浦和也","ENGI","機甲","歷史","戰爭",NULL,NULL,NULL,"遊戲改編","續作"
"絆之 Allele",103000,8583,"2023","春番",12,"4.2",1251,"駒屋健一郎","WIT STUDIO×SIGNAL.MD","校園","偶像","音樂",NULL,NULL,NULL,"原創作品","新作"
"在地下城尋求邂逅是否搞錯了什麼 第四季",5268000,229043,"2023","冬番",23,"4.8",13058,"橘秀樹","J.C.STAFF","動作","冒險","奇幻",NULL,NULL,NULL,"小說改編","續作"
"魔法使的新娘 第二季",1067000,50810,"2023","春番",21,"4.9",5124,"寺澤和晃","STUDIO KAFKA","冒險","奇幻","魔法","戀愛","溫馨",NULL,"漫畫改編","續作"
"MIX 第二季 ~第二個夏天，邁向晴空~",170000,7083,"2023","春番",24,"4.6",565,"神谷智大","OLM","校園","青春","勵志","運動","競技",NULL,"漫畫改編","續作"
"吸血鬼馬上死 第二季",467000,38917,"2023","冬番",12,"4.9",2965,"神志那弘志","MADHOUSE","奇幻","喜劇","靈異神怪",NULL,NULL,NULL,"漫畫改編","續作"
"魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～第二季",1718000,143167,"2023","冬番",12,"4.6",6500,"大沼心、田村正文","SILVER LINK.","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","續作"
"給不滅的你 第二季",931000,46550,"2022","秋番",20,"4.9",3696,"佐山聖子","Drive","冒險","奇幻","感人",NULL,NULL,NULL,"漫畫改編","續作"
"尼爾：自動人形 Ver1.1a",1099000,91583,"2023","冬番",12,"4.9",7812,"益山亮司","A-1 Pictures","動作","科幻","黑暗",NULL,NULL,NULL,"遊戲改編","新作"
"呆萌酷男孩",1190000,49583,"2022","秋番",24,"4.9",4704,"今千秋","Studio Pierrot","喜劇","青春","悠閒",NULL,NULL,NULL,"漫畫改編","新作"
"她來自煩星",938000,40783,"2022","秋番",23,"4.9",4687,"高橋秀彌、木村泰大","david production","喜劇","戀愛",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"我與機器子",1509000,53893,"2022","秋番",28,"4.9",5440,"大地丙太郎","GALLOP","喜劇","泡麵番",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"藍色監獄",4921000,205042,"2022","秋番",24,"4.9",12292,"渡邊徹明、石川俊介","8bit","動作","運動","競技",NULL,NULL,NULL,"漫畫改編","新作"
"夫婦以上，戀人未滿",1480000,123333,"2022","秋番",12,"4.8",8497,"山元隼一","studio MOTHER","校園","戀愛","青春",NULL,NULL,NULL,"漫畫改編","新作"
"英雄王，為了窮盡武道而轉生～而後成為世界最強見習騎士♀～",1659000,138250,"2023","冬番",12,"4.4",7068,"葛谷直行","STUDIO COMET","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","新作"
"妖幻三重奏",374000,31167,"2023","冬番",12,"4.8",2641,"秋田谷典昭","CONNECT","校園","喜劇","戀愛","靈異神怪",NULL,NULL,"漫畫改編","新作"
"路人超能 100 第三季",1942000,161833,"2022","秋番",12,"5",13968,"立川讓、蓮井隆弘","BONES","動作","超能力","勵志","溫馨","感人","靈異神怪","漫畫改編","續作"
"MUV-LUV ALTERNATIVE 第二季",228000,19000,"2022","秋番",12,"4.5",916,"西本由紀夫","FLAGSHIP LINE×夢太公司×Graphinica","科幻","機甲","戀愛",NULL,NULL,NULL,"遊戲改編","續作"
"物之古物奇譚",1261000,52542,"2023","冬番",24,"4.8",4895,"木村隆一","BN Pictures","奇幻","靈異神怪",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"烙印勇士 黃金時代篇 MEMORIAL EDITION 年齡限制版",217000,16692,"2022","秋番",13,"4.7",1450,"佐野雄太","STUDIO４℃","冒險","奇幻","戰爭","血腥暴力","黑暗","18禁","漫畫改編","續作"
"眾神眷顧的男人 2",971000,80917,"2023","冬番",12,"4.4",3341,"柳瀨雄之","MAHO FILM","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","新作"
"Buddy Daddies 殺手奶爸",820000,63077,"2023","冬番",13,"4.9",5545,"浅井義之","P.A.WORKS","動作","喜劇","溫馨",NULL,NULL,NULL,"原創作品","新作"
"聖劍傳說 Legend of Mana - The Teardrop Crystal -",158000,12154,"2022","秋番",13,"3.9",679,"神保昌登","Graphinica、橫浜動畫研究所","冒險","奇幻",NULL,NULL,NULL,NULL,"原創作品","新作"
"鏈鋸人",1219000,101583,"2022","秋番",12,"4.8",11573,"中山龍","MAPPA","動作","血腥暴力",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"我想成為影之強者！",8684000,434200,"2022","秋番",20,"4.9",26016,"中西和也","Nexus","動作","奇幻","異世界","魔法","校園","血腥暴力","小說改編","新作"
"我的英雄學院 第六季",3882000,155280,"2022","秋番",25,"4.8",9025,"長崎健司、向井雅浩","BONES","動作","超能力","校園","勵志",NULL,NULL,"漫畫改編","續作"
"孤獨搖滾！",7579000,631583,"2022","秋番",12,"5",44820,"齋藤圭一郎","CloverWorks","校園","喜劇","青春","勵志","音樂",NULL,"漫畫改編","新作"
"PUI PUI 天竺鼠車車 駕訓班篇",385000,32083,"2022","秋番",12,"4.8",2535,"小野花","新銳動畫、Japan Green Hearts","喜劇","溫馨","悠閒","闔家觀賞","泡麵番",NULL,"原創作品","續作"
"銀砂糖師與黑妖精～sugar apple fairy tale～",1044000,43500,"2023","冬番",24,"4.6",4199,"鈴木洋平","J.C.STAFF","冒險","奇幻","戀愛",NULL,NULL,NULL,"小說改編","續作"
"冰屬性男子與無表情女子",1038000,86500,"2023","冬番",12,"4.9",7726,"萬球","ZERO-G×Liber","奇幻","戀愛","職場",NULL,NULL,NULL,"漫畫改編","新作"
